Command,Intent
Please conclude our chat now.,End
I think we're done talking for today.,End
Enroll a new participant with details.,Register_User
Create a new user profile.,Register_User
Let's discuss a different subject.,New
Change the topic to global warming.,New
Can you remind me what we discussed last week?,Retrieve Context
Bring up our previous conversation on health.,Retrieve Context
End this conversation as soon as possible.,End
"That's enough for today, let's stop.",End
Register John Doe in our system.,Register_User
Add a user named Alice.,Register_User
"Let's wrap up this chat.","End"
"I think we should stop talking now.","End"
"Time to close our conversation.","End"
"That's enough discussion for today.","End"
"Finish our session, please.","End"
"Let’s conclude this dialogue.","End"
"I want to end our chat right now.","End"
"Cease our conversation immediately.","End"
"Can we stop our discussion now?","End"
"Put an end to our talk, please.","End"
"Sign up a new member.","Register_User"
"Incorporate a new user into our system.","Register_User"
"Add someone new to the database.","Register_User"
"Register a new participant now.","Register_User"
"Enlist a new user right here.","Register_User"
"Create a new account for a user.","Register_User"
"Get a new user registered.","Register_User"
"Put a new member on our list.","Register_User"
"Can we add a new user profile?","Register_User"
"I need to sign up a new person.","Register_User"
"Switch the topic of discussion.","New"
"Let’s move on to something new.","New"
"Initiate a new subject now.","New"
"Start discussing another topic.","New"
"Can we change the conversation focus?","New"
"Begin a fresh conversation.","New"
"Shift our discussion to another theme.","New"
"Open a new dialogue on health.","New"
"Let's transition to a different topic.","New"
"Introduce a new discussion point.","New"
"What was our previous topic again?","Retrieve Context"
"Can you recall what we last discussed?","Retrieve Context"
"Remind me about our last conversation.","Retrieve Context"
"Bring up the last topic we talked about.","Retrieve Context"
"I need to remember our previous dialogue.","Retrieve Context"
"What did we mention in our last talk?","Retrieve Context"
"Retrieve the details from our last session.","Retrieve Context"
"Can you bring back what we discussed last time?","Retrieve Context"
"Summarize our last meeting, please.","Retrieve Context"
"Refresh my memory on our recent chat.","Retrieve Context"
"Please terminate our current discussion.","End"
"Let’s finish off this topic.","End"
"I'd like to end our conversation now.","End"
"Could we stop our dialogue here?","End"
"Time to put an end to this discussion.","End"
"Enough talking, let's end it.","End"
"Conclude this chat immediately.","End"
"Stop this conversation, please.","End"
"We should wrap this up now.","End"
"Finish this dialogue now.","End"
"Add a new contact to our list.","Register_User"
"Enroll a fresh user now.","Register_User"
"Let’s register a new entry in our system.","Register_User"
"I want to add a new account.","Register_User"
"Put this person into our database.","Register_User"
"Register a new client today.","Register_User"
"Add this new subscriber.","Register_User"
"Please sign up this individual.","Register_User"
"Incorporate a newcomer into our records.","Register_User"
"Time to enroll a new member.","Register_User"
"Start a fresh topic now.","New"
"Let’s begin a new discussion topic.","New"
"Can we switch our focus?","New"
"Move to a new conversation.","New"
"Let's divert to another subject.","New"
"Open up a different discussion thread.","New"
"Shift to a new conversation angle.","New"
"Initiate a fresh dialogue about technology.","New"
"Begin a new narrative on politics.","New"
"Change our topic to entertainment.","New"
"What were we discussing previously?","Retrieve Context"
"Bring up our prior conversation details.","Retrieve Context"
"Can you go back to our last topic?","Retrieve Context"
"Review what we talked about before.","Retrieve Context"
"Please summarize our previous discussion.","Retrieve Context"
"Return to our last discussion point.","Retrieve Context"
"Revisit our conversation on yesterday's topic.","Retrieve Context"
"Can you remind me of our last chat?","Retrieve Context"
"Bring back our previous dialogue.","Retrieve Context"
"Recall the last subject we covered.","Retrieve Context"
"Could you end this dialogue now?","End"
"Time to close out our session.","End"
"I believe we should conclude now.","End"
"Let's call it quits on this conversation.","End"
"Put a stop to this discussion, immediately.","End"
"I think that's all for today's chat.","End"
"End our current chat session, please.","End"
"Let's halt our conversation here.","End"
"It's time to finish our dialogue.","End"
"Please wrap up this discussion.","End"
"Sign up another participant.","Register_User"
"Register a new user immediately.","Register_User"
"Can we add a new user now?","Register_User"
"I need to register someone new.","Register_User"
"Let’s get a new user set up.","Register_User"
"Create a profile for a new user.","Register_User"
"Enlist a new participant in our database.","Register_User"
"Can you register a new account?","Register_User"
"Please add this user to our system.","Register_User"
"Get a new member registered today.","Register_User"
"Let's talk about something completely new.","New"
"Shift our focus to a new theme.","New"
"Can we discuss something different?","New"
"Change the subject to something more recent.","New"
"Move onto a new and relevant topic.","New"
"Start a conversation about the latest news.","New"
"Let’s switch to discussing new developments.","New"
"Begin a dialogue on another subject.","New"
"Shift the topic to a different area.","New"
"Introduce a completely new discussion.","New"
"What was our discussion about last time?","Retrieve Context"
"Can you retrieve our last conversation's details?","Retrieve Context"
"Remind me of what we were discussing previously.","Retrieve Context"
"Go back to our discussion from the other day.","Retrieve Context"
"Could you summarize what we previously talked about?","Retrieve Context"
"Recall our last detailed conversation.","Retrieve Context"
"What topics did we cover last time?","Retrieve Context"
"Refresh my memory about our last meeting.","Retrieve Context"
"Recover the main points of our previous chats.","Retrieve Context"
"Please jog my memory on what we last discussed.","Retrieve Context"
"Please cease this conversation now.","End"
"Let's conclude this meeting immediately.","End"
"I think we've discussed enough, let's stop.","End"
"We should wrap up this session now.","End"
"End the dialogue right here, please.","End"
"It's time to bring this conversation to a close.","End"
"Finish the chat now, if you will.","End"
"Let's put a halt to our discussion.","End"
"No more talking, time to stop.","End"
"Cease our chat session now.","End"
"Register someone new right away.","Register_User"
"Add a new figure to our roster.","Register_User"
"Let's put a new user on the board.","Register_User"
"Enroll a new participant today.","Register_User"
"Quickly add a new profile.","Register_User"
"Set up a new user in our system.","Register_User"
"Can we enroll a new person now?","Register_User"
"I want to add a fresh face to our database.","Register_User"
"Proceed to register a new contact.","Register_User"
"Initiate a new user registration.","Register_User"
"Let's pivot to a new topic.","New"
"Begin exploring a different subject.","New"
"Can we start a new thread of discussion?","New"
"Time to transition to a new subject.","New"
"Let's divert our chat to a new area.","New"
"Open up a conversation on a fresh topic.","New"
"Move our discussion to a new field.","New"
"Can we open a new line of discussion?","New"
"Start a fresh topic on current events.","New"
"Shift to discussing something novel.","New"
"Remind me of our previous topic, please.","Retrieve Context"
"Bring up the details from our last chat.","Retrieve Context"
"Can you go over our last discussion again?","Retrieve Context"
"What did we conclude in our last meeting?","Retrieve Context"
"Reiterate what we talked about last time.","Retrieve Context"
"Please recap our previous discussion.","Retrieve Context"
"Bring back the details of our prior talk.","Retrieve Context"
"Recall what we discussed in our previous session.","Retrieve Context"
"Summarize our last conversation for me.","Retrieve Context"
"Refresh what we discussed last, will you?","Retrieve Context"
"Can we conclude this chat right away?","End"
"Finish this conversation at once.","End"
"Let's call this discussion off.","End"
"I'd like to wrap this up now, please.","End"
"Time to end our current discussion.","End"
"Terminate this ongoing chat immediately.","End"
"Can we bring this to a close now?","End"
"Let's finish this conversation right here.","End"
"It's time to stop this dialogue.","End"
"Conclude this discussion, let's move on.","End"
"Add a new user to the platform.","Register_User"
"Time to sign up a new person.","Register_User"
"Let's get a new user on board.","Register_User"
"Proceed to add a new user now.","Register_User"
"Can we add a new participant here?","Register_User"
"Enroll a new user into our system today.","Register_User"
"I'd like to register a new person now.","Register_User"
"Insert a new user into our records.","Register_User"
"Please input a new user’s details.","Register_User"
"Register a newcomer to our service.","Register_User"
"Start discussing a brand new topic.","New"
"Let's initiate a new subject discussion.","New"
"Shift our dialogue to a new theme.","New"
"Transition to a new conversation topic.","New"
"Begin a different topic of discussion now.","New"
"Can we discuss a novel topic?","New"
"Let's switch our focus to a new area.","New"
"Move on to discuss something else.","New"
"Time to change the subject to a new one.","New"
"Introduce a new topic of conversation.","New"
"Can you remind me of our last discussion?","Retrieve Context"
"Bring up the last conversation we had.","Retrieve Context"
"Recall our previous discussion points.","Retrieve Context"
"Go over what we talked about in our last chat.","Retrieve Context"
"Can you bring back our previous conversation details?","Retrieve Context"
"What were the main points of our last discussion?","Retrieve Context"
"Summarize the key points from our last meeting.","Retrieve Context"
"Revisit our last conversation, please.","Retrieve Context"
"Remind me of the highlights from our last talk.","Retrieve Context"
"Please recap the last topic we discussed.","Retrieve Context"
"Please put an end to our current conversation.","End"
"Let's conclude this dialogue immediately.","End"
"I think it's time we stopped chatting.","End"
"This discussion is over, let’s wrap it up.","End"
"End this session right now, please.","End"
"Terminate our chat at this moment.","End"
"Let's not continue this conversation.","End"
"It's time to finish our talk.","End"
"Stop this chat session now.","End"
"I'd like to cease our conversation here.","End"
"Register a fresh participant now.","Register_User"
"Let's create a new user account.","Register_User"
"Add a new entry to our user list.","Register_User"
"Please sign up this new user.","Register_User"
"I want to enroll a new user today.","Register_User"
"Set up a new profile in the system.","Register_User"
"Include a new person in our database.","Register_User"
"Start the registration of a new user.","Register_User"
"Let's officially add a new member.","Register_User"
"Enroll this individual as a new user.","Register_User"
"Can we open a dialogue on a new subject?","New"
"Let's begin a discussion on a new topic.","New"
"Initiate a new conversation theme.","New"
"Can we shift to discussing a new idea?","New"
"Start a conversation on a fresh subject.","New"
"Switch to a new topic of interest.","New"
"Change our discussion to something new.","New"
"Can we explore a new topic now?","New"
"Let's start a fresh discussion right away.","New"
"Move the conversation to a new subject.","New"
"Recall what we discussed in our last session.","Retrieve Context"
"Remind me about our previous session’s topic.","Retrieve Context"
"What was the focus of our last conversation?","Retrieve Context"
"Retrieve our last discussion’s main points.","Retrieve Context"
"Can you recap our previous session for me?","Retrieve Context"
"Review the last topics we discussed.","Retrieve Context"
"Bring up the points from our last conversation.","Retrieve Context"
"What were we talking about in our previous chat?","Retrieve Context"
"Can you summarize our last session’s details?","Retrieve Context"
"Reiterate the main discussions from last time.","Retrieve Context"
"Let's officially end this conversation now.","End"
"Conclude this chat session immediately.","End"
"Please terminate our dialogue at this point.","End"
"Wrap up our discussion promptly.","End"
"We should end our conversation here.","End"
"Cease all discussion now.","End"
"Finish this conversation with no further delay.","End"
"I want to stop this chat session.","End"
"Let's close this dialogue now.","End"
"Complete our current conversation.","End"
"Add another user to our system now.","Register_User"
"New user registration is needed.","Register_User"
"Please process a new user signup.","Register_User"
"Initiate setup for a new account.","Register_User"
"Record a new user in our database.","Register_User"
"Include a fresh user in our records.","Register_User"
"Commence registration of a new member.","Register_User"
"Add a new user profile immediately.","Register_User"
"Proceed with adding a new participant.","Register_User"
"Set up a new account for the latest user.","Register_User"
"Shift the conversation to another topic.","New"
"Let's switch to a different subject now.","New"
"Begin a new discussion about technology.","New"
"Can we talk about something else now?","New"
"Let’s move to a different topic.","New"
"Initiate a conversation on a new issue.","New"
"Start discussing a fresh subject.","New"
"Change to a new discussion topic.","New"
"Let's open a discussion on a novel subject.","New"
"Redirect our conversation to a new theme.","New"
"Recap our previous discussion points.","Retrieve Context"
"Could you remind me of what we discussed last?","Retrieve Context"
"Go back to our last topic of discussion.","Retrieve Context"
"What was our last discussion about?","Retrieve Context"
"Can you outline what we talked about previously?","Retrieve Context"
"Please recall our last conversation's focus.","Retrieve Context"
"Review our previous discussion for me.","Retrieve Context"
"Reiterate our last discussion’s key points.","Retrieve Context"
"Recall the theme of our last chat.","Retrieve Context"
"Summarize our last conversation’s main points.","Retrieve Context"
"End this conversation here and now.","End"
"Please bring this discussion to a close.","End"
"Finish our talk at this moment.","End"
"Let's conclude our session right now.","End"
"Stop this ongoing conversation.","End"
"Cease conversation at this immediate point.","End"
"Conclude our chat effectively immediately.","End"
"Halt this discussion right here.","End"
"Let us finish this conversation now.","End"
"Put an end to this ongoing talk.","End"
"Sign up a new user right this minute.","Register_User"
"Let’s get this user registered.","Register_User"
"Enroll a new user this instant.","Register_User"
"Register a new user into our system now.","Register_User"
"Quickly add a new user to our list.","Register_User"
"Create a new user account immediately.","Register_User"
"Proceed to enroll a new user.","Register_User"
"Let's add a new user to the database.","Register_User"
"Record a new member into our system.","Register_User"
"Ensure a new user is registered today.","Register_User"
"Change the subject to a brand new one.","New"
"Initiate a discussion on an entirely new topic.","New"
"Can we begin talking about something different?","New"
"Transition into a new conversation area.","New"
"Let's navigate to a new topic.","New"
"Shift our discussion focus to a new point.","New"
"Start a new topic right now.","New"
"Discuss a different issue starting now.","New"
"Move to a new topic of conversation.","New"
"Let's refocus the conversation to a new subject.","New"
"Review what we previously discussed.","Retrieve Context"
"Recall the main topics from our last chat.","Retrieve Context"
"Bring up our last discussion's main themes.","Retrieve Context"
"Can you summarize what was discussed previously?","Retrieve Context"
"Revisit our previous conversation's main topics.","Retrieve Context"
"Remind me about our last detailed discussion.","Retrieve Context"
"What was the core of our last conversation?","Retrieve Context"
"Outline the key points from our last talk.","Retrieve Context"
"Can you provide a summary of our last session?","Retrieve Context"
"Review the central points of our previous conversation.","Retrieve Context"
"Please finish this discussion now.","End"
"Bring our conversation to an immediate end.","End"
"It's time to cease this chat.","End"
"We need to wrap up our talk right now.","End"
"Conclude this dialogue immediately.","End"
"End the session at this point.","End"
"Finish discussing and end the conversation.","End"
"Halt this conversation permanently.","End"
"Please terminate this discussion immediately.","End"
"Stop our chat right this second.","End"
"Add a user to our online platform.","Register_User"
"Proceed to register a new user today.","Register_User"
"New user signup needs to be completed.","Register_User"
"Enroll a new user in our system now.","Register_User"
"Process a new user addition.","Register_User"
"Create a new user profile today.","Register_User"
"Let’s add someone new to the system.","Register_User"
"Implement registration for a new user.","Register_User"
"Complete the new user registration.","Register_User"
"Please create a profile for the new user.","Register_User"
"Let's start talking about something different.","New"
"Begin a conversation on a new and interesting topic.","New"
"Switch to a completely new subject now.","New"
"Open a dialogue on a new and exciting topic.","New"
"Shift our conversation to a different theme.","New"
"Start a new and engaging discussion.","New"
"Let’s move our chat to a different topic.","New"
"Change the current topic to something else.","New"
"Can we explore a new discussion area?","New"
"Redirect our chat to a new and relevant topic.","New"
"Please recap our previous conversation.","Retrieve Context"
"Recall the last discussion we had.","Retrieve Context"
"Can you summarize our last meeting?","Retrieve Context"
"Revisit what we talked about last time.","Retrieve Context"
"Remind me of the key points from our previous talk.","Retrieve Context"
"Bring back the details from our last session.","Retrieve Context"
"Go over our last conversation again.","Retrieve Context"
"Summarize the important points from our last discussion.","Retrieve Context"
"What were the main discussion points last time?","Retrieve Context"
"Review the highlights from our previous chat.","Retrieve Context"
"Time to stop our discussion.","End"
"Conclude our discussion now.","End"
"I want to finish this conversation.","End"
"We should cease this conversation now.","End"
"Let’s put an end to our talk immediately.","End"
"End this conversation session now.","End"
"Terminate this chat at once.","End"
"It's time to conclude this chat.","End"
"Let's put a stop to our discussion.","End"
"Cease this chat now, please.","End"
"Quickly enroll a new user.","Register_User"
"Add a fresh profile to our database.","Register_User"
"Please register this new person.","Register_User"
"Urgently sign up a new user.","Register_User"
"Register a new member of our service.","Register_User"
"Add this person to our user base.","Register_User"
"Sign up a new user for our service.","Register_User"
"Enroll this new user immediately.","Register_User"
"Complete the addition of a new user.","Register_User"
"Process the registration of a new member.","Register_User"
"Initiate a discussion on a new topic.","New"
"Start a fresh conversation now.","New"
"Begin a new topic of discussion immediately.","New"
"Move our dialogue to a different subject.","New"
"Let's change the topic of conversation.","New"
"Introduce a new subject for discussion.","New"
"Start a new conversation topic right away.","New"
"Shift our discussion to another topic.","New"
"Engage in a conversation on a new subject.","New"
"Transition to a new discussion focus.","New"
"Recover the details of our last conversation.","Retrieve Context"
"Outline our last discussion’s main points.","Retrieve Context"
"Can you recall the details of our last chat?","Retrieve Context"
"Refresh my memory of our previous discussion.","Retrieve Context"
"Remind me what we talked about previously.","Retrieve Context"
"Recap the last subject we discussed.","Retrieve Context"
"Review the main points from our last conversation.","Retrieve Context"
"Bring up the key points from our last discussion.","Retrieve Context"
"Summarize our last talk for me.","Retrieve Context"
"Refresh the details of our previous conversation.","Retrieve Context"
